ItemName,total_sentiment_analysis,YearPosted
PAYDAY 2: Gage Weapon Pack #02,1,2015
PAYDAY 2: Hotline Miami,11,2014
PAYDAY 2: Sokol Character Pack,6,2015
PAYDAY 2: Sydney Character Pack,3,2016
PAYDAY 2: The Alesso Heist,4,2015
PAYDAY 2: The Bomb Heists,1,2016
PAYDAY 2: The Butcher's AK/CAR Mod Pack,2,2016
PAYDAY 2: The Butcher's BBQ Pack,7,2015
PAYDAY 2: The Butcher's Western Pack,1,2015
PAYDAY 2: The Golden Grin Casino Heist,2,2015
PAYDAY 2: The OVERKILL B-Sides Soundtrack,1,2015
PAYDAY 2: The OVERKILL Pack,8,2016
PAYDAY 2: The Official Soundtrack,1,2014
PAYDAY 2: The Point Break Heists,4,2016
PAYDAY 2: Wolf Pack,4,2016
PAYDAY 2: Yakuza Character Pack,5,2015
PAYDAY: The Heist Soundtrack,1,2015
PAYDAY: The Web Series,5,2015
PAYDAY™ The Heist,134,2014
PAYDAY™ The Heist: Wolfpack DLC,2,2015
POSTAL,3,2014
POSTAL 2,86,2016
POSTAL 2: Paradise Lost,3,2015
PULSAR: Lost Colony,5,2015
Pac-Man Championship Edition DX+: Pac is Back Skin,1,2015
Paddle Up,1,2016
Painkiller Hell & Damnation,3,2015
Painkiller Redemption,1,2013
Paint the Town Red,16,2016
Pajama Sam 2: Thunder and Lightning Aren't So Frightening,1,2014
Pajama Sam: No Need to Hide When It's Dark Outside,2,2014
Paladins®,11,2016
Pandora: First Contact,1,2015
Panzer Corps,1,2015
Panzermadels: Tank Dating Simulator,3,2016
Paper Sorcerer,1,2014
"Papers, Please",75,2013
Papo & Yo,2,2014
Paranautical Activity: Deluxe Atonement Edition,5,2015
Paranormal,1,2013
Particula,1,2015
Party Hard,5,2016
Party Jousting,1,2016
Party of Sin,1,2012
Passing Pineview Forest,1,2015
Pathologic Classic HD,1,2016
Pay2Win: The Tricks Exposed,1,2016
Peggle Deluxe,4,2014
Peggle Extreme,8,2015
Pendragon Rising,1,2016
Penguins Arena: Sedna's World,6,2016
Penumbra Overture,4,2014
Penumbra: Black Plague Gold Edition,4,2012
PewDiePie: Legend of the Brofist,2,2016
Phantasmal: Survival Horror Roguelike,2,2016
Phantom Breaker: Battle Grounds,3,2015
Picross Touch,2,2016
Pid,4,2014
Pillars of Eternity,5,2015
Pinball Arcade,4,2013
Pink Hour,3,2015
"Pirates, Vikings, and Knights II",12,2015
Pivvot,2,2014
Pixel Galaxy,1,2015
Pixel Piracy,29,2014
Pixel Puzzles 2: Anime,1,2016
Pixel Puzzles: Japan,1,2015
Pixel Star,1,2016
Pixel Survivors,2,2015
PixelJunk™ Eden,1,2014
PixelJunk™ Monsters Ultimate,2,2014
Plague Inc: Evolved,48,2015
Planet Explorers,6,2015
PlanetSide 2,324,2015
Planetary Annihilation - Digital Deluxe Add-on,1,2015
Planetary Annihilation: TITANS,7,2016
Planetbase,4,2016
Plant Tycoon,1,2014
Plantera,2,2016
Plants vs. Zombies GOTY Edition,7,2016
Platypus,2,2015
Platypus II,1,2015
PlayClaw 5 - Game Recording and Streaming,1,2014
"Please, Don’t Touch Anything",4,2015
Plug & Play,12,2015
Poi,1,2015
Poker Night 2,29,2015
Poker Night at the Inventory,40,2013
Polandball: Can into Space!,1,2016
Polarity,8,2016
Poly Bridge,3,2015
Pongo,1,2015
Pony Island,10,2016
Pool Nation,4,2013
Port Royale 3,1,2012
Port of Call,1,2016
Portal,102,2015
Portal 2,369,2012
Portal 2 - The Final Hours,2,2015
Portal 2 Sixense Perceptual Pack,2,2013
Portal 2 Soundtrack,3,2014
Portal Knights,2,2016
Portal Stories: Mel,26,2015
Portal Stories: VR,2,2016
Post Apocalyptic Mayhem,6,2016
Postal III,1,2014
Potatoman Seeks the Troof,3,2014
Pox Nora,2,2016
Poöf,1,2014
Praetorians,3,2014
"Precipice of Darkness, Episode One",1,2013
"Precipice of Darkness, Episode Two",2,2012
Pregnancy,2,2015
Pretty Girls Mahjong Solitaire,2,2016
Primal Carnage,21,2014
Primal Carnage: Extinction,7,2014
Prime World: Defenders,2,2013
Prince of Persia: Warrior Within™,1,2016
Prince of Persia®: The Sands of Time,3,2014
Princess Edge - Dragonstone,1,2016
Princess Evangile All Ages Version,1,2015
Princess Remedy in a World of Hurt,3,2016
Prison Architect,103,2014
Pro Cycling Manager 2014,2,2014
Probably Archery,1,2014
Professional Farmer 2014,1,2014
Project CARS,7,2015
Project CARS - Racing Icons Car Pack,1,2015
Project CARS - Stanceworks Track Expansion,1,2016
Project Explore,1,2015
Project Highrise,1,2016
Project Nimbus,3,2016
Project Starship,1,2016
Project Zomboid,43,2014
Prominence Poker,1,2016
Proteus,6,2015
Protoshift,1,2016
Prototype 2,4,2015
Prototype™,9,2014
Psychonauts,13,2013
Puddle,1,2014
Punch Club,3,2016
Puppy Dog: Jigsaw Puzzles,1,2016
Putt-Putt® Goes to the Moon,1,2015
Putt-Putt® Joins the Parade,1,2015
Putt-Putt® Travels Through Time,1,2014
Puzzle Agent 2,2,2014
Puzzle Pirates,3,2012
PuzzleQuest: Challenge of the Warlords,3,2011
Pythagoria,1,2016
QUAKE,3,2015
QUAKE II,1,2016
Quadrilateral Cowboy,2,2016
Quake III Arena,2,2015
Quake Live™,32,2014
Quantum Conundrum,4,2012
Quantum Rush Champions,1,2014
Quintet,2,2016
Quiplash,1,2015
RACE 07,4,2014
RADical ROACH Remastered,3,2015
RAGE,13,2014
RC Cars,1,2016
REDCON,1,2016
RER2 Episode Three: Judgment,1,2015
RIFT,27,2013
RISK™: Factions,1,2016
ROCKETSROCKETSROCKETS,5,2016
ROD: Revolt Of Defense,1,2016
RONIN,1,2015
RPG MO,2,2015
RPG Maker 2003,1,2015
RPG Maker MV,2,2015
RPG Maker VX Ace,8,2016
RPG Tycoon,1,2016
RUNNING WITH RIFLES,9,2016
RUSH,3,2015
RWBY: Grimm Eclipse,23,2015
Rabbit Hole 3D: Steam Edition,1,2014
Rabi-Ribi,2,2016
Race The Sun,20,2015
RaceRoom Racing Experience,12,2013
Racer 8,1,2016
Radiant Defense,1,2014
Rage Runner,1,2014
Ragnarok Online,3,2015
Ragnarok Online 2,6,2013
Raiden Legacy - Steam Edition,1,2015
Rake,6,2015
Rampage Knights,3,2016
Random Access Murder,1,2016
Ratz Instagib,16,2016
Raw Data,2,2016
Rayman® Legends,1,2013
Rayman® Origins,2,2013
Real Boxing™,1,2015
Real Horror Stories Ultimate Edition,3,2014
Really Big Sky,3,2014
Realm of the Mad God,199,2016
Realms of the Haunting,1,2016
Reassembly,5,2016
Rebel Galaxy,3,2016
Rebuild 3: Gangs of Deadsville,2,2014
Rec Room,1,2016
Receiver,18,2014
Recettear: An Item Shop's Tale,13,2015
Red Crucible®: Firestorm,13,2015
Red Faction,3,2014
Red Faction Guerrilla Steam Edition,14,2015
Red Faction®: Armageddon™,4,2012
Red Orchestra 2: Heroes of Stalingrad with Rising Storm,98,2015
Red Orchestra: Ostfront 41-45,2,2013
Red Trigger,3,2016
Reflex Arena,3,2015
Refunct,8,2016
Regency Solitaire,2,2016
Reign Of Kings,40,2015
ReignMaker,1,2014
Reigns,2,2016
Relic Hunters Zero,7,2015
Remember Me,12,2015
Renegade Ops,3,2012
Renowned Explorers: International Society,2,2016
Replica,1,2016
Reprisal Universe,2,2016
Republique,1,2015
Resident Evil / biohazard HD REMASTER,7,2015
Resident Evil 0 / biohazard 0 HD REMASTER,1,2016
Resident Evil 6 / Biohazard 6,18,2014
Resident Evil Revelations / Biohazard Revelations,1,2016
Resident Evil Revelations 2 / Biohazard Revelations 2,8,2015
Resident Evil: Operation Raccoon City,1,2014
Resident Evil™ 5/ Biohazard 5®,7,2015
Retro City Rampage™ DX,8,2015
Retro/Grade,1,2014
Retrovirus,1,2016
Return to Castle Wolfenstein,1,2015
Reus,14,2013
Reveal The Deep,2,2016
Revenge of the Titans,2,2015
Reversion - The Escape (1st Chapter),2,2014
Rexaura,1,2015
Richard & Alice,1,2014
Ricochet,10,2013
Riders of Icarus,6,2016
Ridge Racer™ Unbounded,2,2014
Riff Racer - Race Your Music!,1,2015
RimWorld,13,2016
Ring Runner: Flight of the Sages,1,2016
Rise of Flight United,1,2016
Rise of Nations: Extended Edition,17,2015
Rise of the Tomb Raider™,12,2016
Rise of the Triad,7,2013
Risen 2: Dark Waters,2,2012
Risen 3 - Titan Lords,1,2015
Rising Angels: Reborn,1,2014
Rising World,5,2015
Risk of Rain,112,2016
Rivalry,1,2016
Rivals of Aether,13,2015
Riven: The Sequel to MYST,1,2014
Road Not Taken,1,2014
Road Redemption,8,2015
Robocraft,257,2014
Robot Roller-Derby Disco Dodgeball,9,2015
Robotex,1,2016
Rochard,5,2012
Rock Paper Scissors Champion,1,2016
Rock of Ages,5,2015
Rocket League®,253,2016
Rocket League® - Aftershock,1,2016
Rocket League® - Back to the Future™ Car Pack,7,2016
Rocket League® - Batman v Superman: Dawn of Justice Car Pack,1,2016
Rocket League® - Masamune,1,2016
Rocket League® - Revenge of the Battle-Cars DLC Pack,1,2015
Rocket League® - Supersonic Fury DLC Pack,1,2015
Rocketbirds: Hardboiled Chicken,2,2015
Rocksmith® 2014 Edition - Remastered,12,2016
Rocksmith® 2014 – The Black Keys - “Lonely Boy”,1,2015
Rocksmith™,2,2014
Rodina,3,2015
Rogue Continuum,1,2016
Rogue Harvest,1,2016
Rogue Legacy,42,2014
Rogue Shooter: The FPS Roguelike,1,2014
Rogue Trooper,1,2016
Roguelands,3,2016
RollerCoaster Tycoon World™,1,2016
RollerCoaster Tycoon® 2: Triple Thrill Pack,1,2014
RollerCoaster Tycoon® 3: Platinum,8,2015
RollerCoaster Tycoon®: Deluxe,2,2015
Rome: Total War™ - Collection,18,2011
Romero's Aftermath,13,2015
Roogoo,3,2015
Rooster Teeth vs. Zombiens,2,2014
Royal Quest,6,2014
Rubber Ducky and the Rainbow Gun,1,2016
Rugby League Live 3 Demo,2,2014
Rugby Union Team Manager 2015,1,2014
Runeous: Part One,1,2016
Runers,1,2014
Runestone Keeper,1,2015
Rush Bros.,3,2014
Rust,695,2015
Rusty Lake Hotel,1,2016
Ruzh Delta Z,1,2015
Ryse: Son of Rome,12,2016
S.K.I.L.L. - Special Force 2 (Shooter),1,2016
S.T.A.L.K.E.R.: Call of Pripyat,9,2015
S.T.A.L.K.E.R.: Clear Sky,8,2016
S.T.A.L.K.E.R.: Shadow of Chernobyl,7,2014
SAGA,1,2015
SAMOLIOTIK,1,2016
SAMURAI WARRIORS 4-II,2,2015
SC2VN - The eSports Visual Novel,5,2015
SENRAN KAGURA SHINOVI VERSUS,1,2016
SHOWTIME 2073,1,2016
SMITE®,57,2016
SMITE® - Ultimate God Pack,2,2016
SNOW,25,2016
SOMA,12,2016
SPINTIRES™,37,2016
SPORE™,33,2014
SPORE™ Creepy & Cute Parts Pack,2,2015
SPORE™ Galactic Adventures,3,2015
STAR WARS™ - Dark Forces,5,2014
STAR WARS™ - Knights of the Old Republic™,24,2012
STAR WARS™ - The Force Unleashed™ Ultimate Sith Edition,5,2014
STAR WARS™ - X-Wing Special Edition,1,2016
STAR WARS™ Empire at War - Gold Pack,5,2014
STAR WARS™ Galactic Battlegrounds Saga,2,2016
STAR WARS™ Jedi Knight - Jedi Academy™,14,2015
STAR WARS™ Jedi Knight II - Jedi Outcast™,3,2016
STAR WARS™ Jedi Knight: Dark Forces II,2,2015
STAR WARS™ Knights of the Old Republic™ II - The Sith Lords™,13,2013
STAR WARS™ Republic Commando™,14,2016
STAR WARS™ Starfighter™,1,2016
STAR WARS™: Rogue Squadron 3D,1,2016
STAR WARS™: TIE Fighter Special Edition,1,2015
STAR WARS™: The Clone Wars - Republic Heroes™,1,2016
STAR WARS™: The Force Unleashed™ II,5,2016
STARWHAL,7,2015
STEINS;GATE,1,2016
SUNLESS SEA,5,2014
SUPERHOT,25,2016
SWORDY,1,2016
Sacred 2 Gold,1,2015
Sacred 3,1,2015
Sacred 3: Z4ngr13f Weapon Spirit,1,2016
Sacred Citadel,1,2013
Sacrifice,1,2014
Safecracker: The Ultimate Puzzle Adventure,1,2016
Saint Seiya: Soldiers' Soul,1,2016
Saints Row 2,33,2015
Saints Row IV,196,2014
Saints Row IV - The Super Saints Pack,1,2015
Saints Row IV: Commander-In-Chief Pack,2,2015
Saints Row IV: Dubstep Gun (Remix) Pack,1,2015
Saints Row IV: Inauguration Station,1,2014
Saints Row: Gat out of Hell,14,2015
Saints Row: The Third,152,2015
Saints Row: The Third - Gangstas in Space,1,2015
Saints Row: The Third Initiation Station,3,2012
Salt,3,2015
Salt and Sanctuary,3,2016
Sam & Max 104: Abe Lincoln Must Die!,1,2014
Samudai,1,2015
Sanctum,9,2014
Sanctum 2,46,2013
Sang-Froid - Tales of Werewolves,3,2014
Satellite Reign,1,2016
Saturday Morning RPG,3,2014
Savage Lands,7,2015
Savage Resurrection,2,2016
Savant - Ascent,7,2016
Save the Furries,1,2015
Scania Truck Driving Simulator,1,2014
School of Dragons,5,2014
Schrödinger’s Cat And The Raiders Of The Lost Quark,1,2015
Scott in Space,1,2015
Scourge: Outbreak,1,2014
Scrap Mechanic,12,2016
Screencheat,7,2015
Scribblenauts Unlimited,32,2014
Scribblenauts Unmasked: A DC Comics Adventure,7,2015
Season of 12 Colors,4,2016
Secret Files: Tunguska,1,2015
Secret Ponchos,4,2015
Secret World Legends,7,2016
Secret of the Magic Crystals,8,2014
Secrets of Grindea,4,2016
Section 8®: Prejudice™,3,2012
Sector Six,1,2016
Seduce Me the Otome,5,2016
Sengoku,1,2011
Sepia Tears,2,2016
Serena,7,2014
Serious Sam 2,8,2015
Serious Sam Classic: The First Encounter,1,2014
Serious Sam Classic: The Second Encounter,1,2013
Serious Sam Classics: Revolution,2,2014
Serious Sam Double D XXL,2,2015
Serious Sam HD: The First Encounter,5,2014
Serious Sam: The Random Encounter,1,2015
Settled,1,2016
Shadow Warrior,34,2015
Shadow Warrior Classic Redux,2,2013
Shadowgrounds,1,2014
Shadowrun Chronicles - Boston Lockdown,1,2014
Shadowrun Returns,8,2013
Shadowrun: Dragonfall - Director's Cut,3,2016
Shadowrun: Hong Kong - Extended Edition,1,2016
Shadows on the Vatican Act I: Greed,1,2015
Shank,1,2015
Shank 2,3,2015
Shantae and the Pirate's Curse,2,2015
Shark Attack Deathmatch 2,2,2016
ShellShock Live,7,2016
Shelter,7,2014
Shelter 2,2,2015
Shelter 2 Soundtrack,1,2015
Sherlock Holmes: Crimes and Punishments,3,2016
Sherlock Holmes: The Awakened - Remastered Edition,1,2014
Shift 2 Unleashed,3,2015
Ship Simulator Extremes,2,2015
Shmadow,1,2016
Shoppe Keep,6,2015
Shovel Knight: Treasure Trove,17,2016
Shower With Your Dad Simulator 2015: Do You Still Shower With Your Dad,25,2016
Showtime!,1,2015
Shroud of the Avatar: Forsaken Virtues,1,2015
Sid Meier's Civilization IV: Colonization,1,2013
Sid Meier's Civilization V: Brave New World,5,2016
Sid Meier's Civilization V: Gods and Kings,2,2012
Sid Meier's Civilization: Beyond Earth - Rising Tide,1,2015
Sid Meier's Civilization® III Complete,5,2014
Sid Meier's Civilization® IV,6,2016
Sid Meier's Civilization® V,325,2013
Sid Meier's Civilization®: Beyond Earth™,27,2016
Sid Meier's Pirates!,4,2015
Sid Meier's Railroads!,1,2015
Siege Wars,1,2016
Sigils of Elohim,1,2016
Signs of Life,1,2014
Silent Hill Homecoming,1,2015
Silent Hunter 5®: Battle of the Atlantic,1,2014
Silent Hunter®: Wolves of the Pacific,1,2014
Silver Creek Falls: Chapter 1,3,2015
SimCity™ 4 Deluxe Edition,5,2014
SimplePlanes,11,2015
Simply Chess,4,2015
Sins of a Solar Empire®: Rebellion,26,2013
"Sir, You Are Being Hunted",17,2013
Sirius Online,1,2015
Skullgirls,64,2014
Skullgirls: Big Band,1,2015
Skullgirls: Eliza,3,2015
Skulls of the Shogun,2,2014
Sky Gamblers: Storm Raiders,1,2015
Sky Rogue,1,2015
Skyborn,1,2014
Skyscraper Simulator,1,2015
Skyward Collapse,1,2014
SlamIt Pinball Big Score,1,2012
Sleeping Dogs,53,2014
Sleeping Dogs: Definitive Edition,8,2015
Sleeping Dogs: Nightmare in North Point,1,2015
Slender: The Arrival,11,2013
Slime Rancher,21,2016
Smooth Operators,3,2015
SnakEscape,1,2016
Sneaky Sneaky,1,2015
Sniper Art of Victory,2,2014
Sniper Elite,2,2016
Sniper Elite 3,18,2015
Sniper Elite 3 Season Pass,1,2015
Sniper Elite V2,58,2014
Sniper Elite: Nazi Zombie Army,11,2013
Sniper Elite: Nazi Zombie Army 2,9,2014
Sniper: Ghost Warrior,4,2011
Sniper: Ghost Warrior 2,7,2014
Snooker Nation Championship,1,2016
Snuggle Truck,1,2016
Soccer Manager 2015,1,2015
Soccer Manager 2016,1,2016
Soccer Rage,3,2015
Software Inc.,3,2016
Sol 0: Mars Colonization,1,2016
Sol Survivor,2,2014
SolForge,1,2014
Solar 2,6,2013
Soldier Front 2,31,2015
Sonic & All-Stars Racing Transformed,37,2016
Sonic Adventure 2,11,2016
Sonic Adventure DX,2,2015
Sonic CD,2,2012
Sonic Generations Collection,9,2015
Sonic Lost World,5,2016
Sonic the Hedgehog 4 - Episode II,2,2014
Sophie's Curse,2,2016
Sora,1,2016
Soul Gambler,2,2015
Soundodger+,2,2014
Source Filmmaker,110,2015
South Park™: The Stick of Truth™,89,2015
South Park™: The Stick of Truth™ - Ultimate Fellowship Pack,1,2016
Space Beast Terror Fright,1,2015
Space Empires V,2,2013
Space Farmers,2,2014
Space Hole,1,2016
Space Hulk,4,2014
Space Hulk Ascension,2,2015
Space Pirates And Zombies 2,1,2016
Space Pirates and Zombies,5,2014
Space Rift - Episode 1,1,2016
Space Run,1,2014
Space Trader: Merchant Marine,1,2014
SpaceChem,8,2014
Spacebase DF-9,3,2014
Spakoyno: Back to the USSR 2.0,1,2016
Sparkle 2 Evo,2,2014
Sparky's Hunt,1,2016
Spartans Vs Zombies Defense,1,2015
Spec Ops: The Line,82,2013
Speed Kills,1,2015
SpeedRunners,80,2015
Spellweaver,1,2016
Spelunky,26,2015
Spermination,2,2015
Sphere III: Enchanted World,1,2015
Spiral Knights,135,2015
Spiral Knights: Operation Crimson Hammer,1,2014
Spirit of War,1,2016
Spirited Heart Deluxe,1,2014
Spirits,1,2014
Splice,1,2013
Spoiler Alert,2,2014
Spooky Cats,1,2015
Spooky's Jump Scare Mansion,23,2015
Sports Bar VR,2,2016
Sprint Cars Road to Knoxville,1,2014
Spy Chameleon - RGB Agent,3,2015
"Spy Fox 2 ""Some Assembly Required""",2,2014
"Spy Fox in ""Dry Cereal""",2,2016
Squad,23,2015
Square's Route,1,2016
Squirbs,1,2016
Squirt's Adventure,1,2016
Squishy the Suicidal Pig,18,2015
Stacking,1,2014
Star Conflict,35,2014
Star Horizon,1,2015
Star Swarm Stress Test,2,2016
Star Trek Online,22,2016
"Star Wars: Battlefront 2 (Classic, 2005)",95,2015
Star Wolves 2,1,2016
Star Wolves 3: Civil War,1,2015
StarDrive,2,2014
StarDrive 2,3,2015
StarMade,4,2015
Starbound,325,2013
Starbound - Soundtrack,1,2015
Stardew Valley,97,2016
Stardust Vanguards,1,2015
Starpoint Gemini 2,4,2014
Starward Rogue,1,2016
State of Anarchy,1,2016
State of Decay,78,2013
State of Decay: YOSE,1,2015
Steam Controller,5,2016
Steam Link,2,2016
SteamVR Performance Test,3,2016
SteamWorld Dig,3,2014
Steel Ocean,6,2016
Steel Rain,1,2015
Stellaris,14,2016
Steve Chong Finds Out That Suicide is a Bad Idea,1,2015
Stick 'Em Up 2: Paper Adventures,1,2015
Stick RPG 2: Director's Cut,1,2014
Stigmat,1,2016
Stock Car Extreme,1,2015
Stonehearth,8,2015
Stranded Deep,61,2015
Stray Cat Crossing,2,2015
Street Fighter V,4,2016
Street Fighter X Tekken,1,2016
Street Fighter® IV,2,2011
Street Fighter® V - A Shadow Falls (Cinematic Story Expansion),1,2016
Street Legal Racing: Redline v2.3.1,1,2016
Streets of Rage 2,1,2012
Strife®,8,2015
Strike Suit Infinity,2,2014
Strike Suit Zero,5,2014
Strike Suit Zero: Director's Cut,1,2014
Strike Vector,14,2014
Strike.is: The Game,1,2016
Strong Bad's Cool Game for Attractive People: Season 1,1,2013
Stronghold 3 Gold,3,2013
Stronghold Crusader 2,4,2016
Stronghold Crusader HD,4,2014
Stronghold HD,1,2014
Stronghold Kingdoms,15,2014
Styx: Master of Shadows,3,2016
Submerged,1,2016
Subnautica,83,2015
Subspace Continuum,1,2015
Sudeki,1,2014
Suits: A Business RPG,4,2016
Summer Sale,2,2016
Super 3-D Noah's Ark,1,2015
Super Amazing Wagon Adventure,16,2015
Super Chibi Knight,1,2015
Super Crate Box,43,2014
Super Game Jam,1,2014
Super Hexagon,148,2015
Super House of Dead Ninjas,8,2014
Super Killer Hornet: Resurrection,1,2015
Super MNC,34,2015
Super Meat Boy,63,2014
Super Mega Neo Pug,1,2016
Super Night Riders,1,2016
Super Panda Adventures,2,2016
Super Sanctum TD,4,2015
Super Street Fighter IV: Arcade Edition - Arcade Challengers Pack,1,2015
Super Switch,1,2016
Super Trench Attack!,1,2015
Super Win the Game,1,2014
SuperPower 2 Steam Edition,1,2015
Superbrothers: Sword & Sworcery EP,2,2014
Supraball,1,2016
Supreme Commander,4,2014
Supreme Commander 2,18,2010
Supreme Commander: Forged Alliance,11,2015
Supreme Ruler 1936,1,2015
Supreme Ruler 2020 Gold,1,2015
Supreme Ruler Ultimate,1,2014
Supreme Ruler: Cold War,1,2014
Surfingers,1,2016
Surgeon Simulator,87,2014
Survarium,16,2016
Survival: Postapocalypse Now,8,2015
Survivalist,2,2015
Survivor Squad,1,2014
Sven Co-op,25,2016
Sweezy Gunner,1,2014
Sword of the Samurai,1,2014
Sword of the Stars: Complete Collection,1,2014
Sword of the Stars: The Pit,2,2014
Swords and Soldiers HD,3,2011
Symphony,2,2014
Synergy,27,2014
System Shock 2,7,2014
T.E.C. 3001,1,2014
TERA,47,2016
THE KING OF FIGHTERS 2002 UNLIMITED MATCH,1,2015
THE KING OF FIGHTERS XIII STEAM EDITION,7,2015
TIS-100,1,2015
TOXIKK™,6,2016
TUG,2,2014
TY the Tasmanian Tiger,1,2016
TY the Tasmanian Tiger 4,2,2016
Tabletop Simulator,17,2016
Tactical Intervention,85,2014
Tadpole Treble,1,2016
Take On Helicopters,1,2014
Take Thy Throne,1,2016
Tales Runner,1,2015
Tales from the Borderlands,59,2016
Tales of Aravorn: Seasons Of The Wolf,1,2015
Tales of Maj'Eyal,4,2014
Tales of Zestiria,7,2015
Talisman: Digital Edition,10,2015
Talisman: Prologue,1,2013
Tap Heroes,1,2016
Tap Tap Infinity,1,2015
Tasty Blue,3,2015
Tea Party Simulator 2015™,1,2015
Team Fortress 2,3571,2014
Team Fortress Classic,11,2015
Teddy Floppy Ear - Kayaking,1,2015
Teddy Floppy Ear - Mountain Adventure,1,2015
Teddy Floppy Ear - The Race,2,2016
Teeworlds,3,2015
Teleglitch: Die More Edition,8,2014
Templar Battleforce,1,2015
Tengami,1,2015
TeraBlaster,3,2015
Terra Incognita ~ Chapter One: The Descendant,1,2016
TerraTech,10,2015
Terraria,711,2015
Terrorhedron Tower Defense,1,2015
Tesla Effect: A Tex Murphy Adventure,1,2015
Test Drive Unlimited 2,6,2014
Tetrobot and Co.,1,2013
"That Dragon, Cancer",1,2016
The Age of Decadence,2,2016
The Average Everyday Adventures of Samantha Browne,1,2016
The Banner Saga,8,2015
The Banner Saga: Factions,1,2013
The Basement Collection,1,2013
The Beginner's Guide,43,2016
The Binding of Isaac,181,2013
The Binding of Isaac: Afterbirth,23,2015
The Binding of Isaac: Rebirth,148,2015
The Black Death,1,2016
The Black Watchmen,1,2015
The Blue Flamingo,1,2014
The Bottom of the Well,1,2016
The Bridge,7,2014
The Bureau: XCOM Declassified,11,2013
The Castle Doctrine,1,2014
The Cat Lady,2,2015
The Cat and the Coup,1,2016
The Cave,2,2013
The Center - ARK Expansion Map,4,2016
The Chosen RPG,1,2016
The Collider,6,2015
The Collider 2,1,2016
The Coma: Cutting Class,1,2016
The Crew™,12,2014
The Crew™ Season Pass,2,2015
The Curious Expedition,1,2016
The Dark Eye: Chains of Satinav,2,2014
The Darkness II,21,2014
The Deed,1,2016
The Deer,1,2015
The Deer God,2,2014
The Desolate Hope,2,2015
The Detail,1,2015
The Dream Machine: Chapter 1 & 2,1,2015
The Elder Scrolls III: Morrowind® Game of the Year Edition,15,2015
The Elder Scrolls IV: Oblivion® Game of the Year Edition,21,2014
The Elder Scrolls® Online: Tamriel Unlimited™,28,2015
The Entente Gold,1,2015
The Escapists,44,2015
The Evil Within,7,2014
The Expendabros,42,2014
The Fall,8,2015
The Fall of the Dungeon Guardians - Enhanced Edition,1,2015
The Fifth Day,3,2014
The Final Station,1,2016
The Flame in the Flood,2,2016
The Flock,1,2015
The Forest,191,2014
The Forest of Doom,3,2015
The Four Kings Casino and Slots,1,2015
The Fruit of Grisaia,4,2016
The Gallery - Episode 1: Call of the Starseed,1,2016
The God's Chain,1,2016
The Graveyard,2,2013
The Great Jitters: Pudding Panic,1,2014
The Hat Man: Shadow Ward,2,2015
The Howler,1,2015
The I of the Dragon,1,2015
The Impossible Game,5,2014
The Incredible Adventures of Van Helsing,7,2013
The Inner World,3,2015
The Interview,1,2015
The Isle,4,2016
The Jackbox Party Pack,3,2015
The Journey Down: Chapter One,1,2016
The Journey Down: Chapter Two,1,2016
The Juicer,1,2016
The LEGO® Movie - Videogame,6,2015
The Lab,4,2016
The Last Door - Collector's Edition,1,2015
The Last Federation,1,2015
The Last Remnant™,2,2014
The Last Tinker™: City of Colors,2,2014
The Legend of Heroes: Trails in the Sky,2,2015
The Legend of Heroes: Trails in the Sky SC,1,2016
The Long Dark,40,2015
The Longest Journey,2,2016
The Lord of the Rings Online™,16,2015
The Lost Mythologies,2,2016
The Magic Circle,2,2015
The Masterplan,2,2015
The Mean Greens - Plastic Warfare,3,2015
The Misadventures of P.B. Winterbottom,2,2012
The Moon Sliver,1,2015
The Music Machine,1,2015
The Mystery of the Druids,1,2015
The NADI Project,1,2016
The Next Penelope,1,2015
The Night of the Rabbit,1,2015
The Nightmare Cooperative,1,2014
The Novelist,1,2014
The Old City: Leviathan,2,2015
The Old Tree,6,2016
The Original Strife: Veteran Edition,1,2016
The Pewdieverse DLC,1,2016
The Plan,72,2014
The Promised Land,2,2016
The Quest,1,2015
The Raven - Legacy of a Master Thief,1,2013
The Renegades of Orion 2.0,1,2016
The Room,3,2016
The SKIES,3,2016
The Sandbox,2,2014
The Secret of Monkey Island: Special Edition,3,2013
The Settlers Online,1,2015
The Ship: Murder Party,22,2014
The Ship: Remasted,2,2016
The Ship: Single Player,2,2014
The Shivah,1,2015
The Showdown Effect,4,2013
The Silent Age,1,2016
The Sims™ 3,23,2016
The Solus Project,1,2016
The Stanley Parable,100,2014
The Swapper,8,2014
The Talos Principle,13,2015
The Testament of Sherlock Holmes,3,2015
The Tiny Bang Story,2,2014
The Typing of The Dead: Overkill,7,2014
The Vanishing of Ethan Carter,6,2015
The Visitor,1,2016
The Walking Dead,141,2012
The Walking Dead: 400 Days,2,2015
The Walking Dead: Michonne - A Telltale Miniseries,4,2016
The Walking Dead: Season 2,107,2015
The Way of Life Free Edition,32,2015
The Witcher 2: Assassins of Kings Enhanced Edition,36,2012
The Witcher Adventure Game,1,2015
The Witcher: Enhanced Edition Director's Cut,22,2013
The Withering,1,2016
The Witness,3,2016
The Wolf Among Us,63,2013
The World II: Hunting BOSS,1,2014
The Yawhg,2,2016
Thea: The Awakening,1,2015
There Came an Echo,2,2015
There's Poop In My Soup,2,2016
They Bleed Pixels,5,2014
